,GeneName
ENSMUSG00000022760,Thap7
ENSMUSG00000022761,Lztr1
ENSMUSG00000022765,Snap29
ENSMUSG00000022768,Ccdc116
ENSMUSG00000022771,Ppil2
ENSMUSG00000022772,Senp5
ENSMUSG00000022774,Ncbp2
ENSMUSG00000022781,Pak2
ENSMUSG00000022788,Fgd4
ENSMUSG00000022789,Dnm1l
ENSMUSG00000022791,Tnk2
ENSMUSG00000022797,Tfrc
ENSMUSG00000022799,Arhgap31
ENSMUSG00000022800,Fyttd1
ENSMUSG00000022808,Snx4
ENSMUSG00000022811,Zfp148
ENSMUSG00000022812,Gsk3b
ENSMUSG00000022820,Ndufb4
ENSMUSG00000022833,Ccdc14
ENSMUSG00000022837,Iqcb1
ENSMUSG00000022840,Adcy5
ENSMUSG00000022841,Ap2m1
ENSMUSG00000022855,Senp2
ENSMUSG00000022856,Tmem41a
ENSMUSG00000022858,Tra2b
ENSMUSG00000022864,D16Ertd472e
ENSMUSG00000022865,Cxadr
ENSMUSG00000022867,Usp25
ENSMUSG00000022890,Atp5j
ENSMUSG00000022892,App
ENSMUSG00000022897,Dyrk1a
ENSMUSG00000022905,Kpna1
ENSMUSG00000022913,Psmg1
ENSMUSG00000022914,Brwd1
ENSMUSG00000022941,Ripply3
ENSMUSG00000022956,Atp5o
ENSMUSG00000022957,Itsn1
ENSMUSG00000022961,Son
ENSMUSG00000022964,Tmem50b
ENSMUSG00000022965,Ifngr2
ENSMUSG00000022967,Ifnar1
ENSMUSG00000022969,Il10rb
ENSMUSG00000022973,Synj1
ENSMUSG00000022982,Sod1
ENSMUSG00000022987,Zfp641
ENSMUSG00000022991,Lalba
ENSMUSG00000022992,Kansl2
ENSMUSG00000022995,Enah
ENSMUSG00000023004,Tuba1b
ENSMUSG00000023010,Tmbim6
ENSMUSG00000023011,Faim2
ENSMUSG00000023015,Racgap1
ENSMUSG00000023018,Smarcd1
ENSMUSG00000023019,Gpd1
ENSMUSG00000023020,Cox14
ENSMUSG00000023026,Dip2b
ENSMUSG00000023031,Cela1
ENSMUSG00000023032,Slc4a8
ENSMUSG00000023033,Scn8a
ENSMUSG00000023034,Nr4a1
ENSMUSG00000023044,Csad
ENSMUSG00000023048,Prr13
ENSMUSG00000023050,Map3k12
ENSMUSG00000023051,Tarbp2
ENSMUSG00000023055,Calcoco1
ENSMUSG00000023067,Cdkn1a
ENSMUSG00000023068,Nus1
ENSMUSG00000023072,Cep89
ENSMUSG00000023074,Mospd1
ENSMUSG00000023075,Akirin1
ENSMUSG00000023087,Noct
ENSMUSG00000023089,Ndufa5
ENSMUSG00000023094,Msrb2
ENSMUSG00000023104,Rfc2
ENSMUSG00000023106,Denr
ENSMUSG00000023110,Prmt5
ENSMUSG00000023118,Sympk
ENSMUSG00000023147,Get1
ENSMUSG00000023150,Ivns1abp
ENSMUSG00000023156,Rpp14
ENSMUSG00000023169,Slc38a1
ENSMUSG00000023170,Gps2
ENSMUSG00000023175,Bsg
ENSMUSG00000023236,Scg5
ENSMUSG00000023272,Creld2
ENSMUSG00000023277,Twf2
ENSMUSG00000023286,Ube2j2
ENSMUSG00000023328,Ache
ENSMUSG00000023330,Dtwd1
ENSMUSG00000023353,Agap3
ENSMUSG00000023452,Pisd
ENSMUSG00000023456,Tpi1
ENSMUSG00000023460,Rab12
ENSMUSG00000023484,Prph
ENSMUSG00000023495,Pcbp4
ENSMUSG00000023571,C1qtnf12
ENSMUSG00000023572,Ccndbp1
ENSMUSG00000023707,Ogfod2
ENSMUSG00000023723,Mrps23
ENSMUSG00000023755,Rhebl1
ENSMUSG00000023764,Sfi1
ENSMUSG00000023791,Pigx
ENSMUSG00000023805,Synj2
ENSMUSG00000023806,Rsph3b
ENSMUSG00000023809,Rps6ka2
ENSMUSG00000023826,Prkn
ENSMUSG00000023827,Agpat4
ENSMUSG00000023861,Mpc1
ENSMUSG00000023868,Pde10a
ENSMUSG00000023892,Zfp51
ENSMUSG00000023904,Hcfc1r1
ENSMUSG00000023905,Tnfrsf12a
ENSMUSG00000023909,Paqr4
ENSMUSG00000023927,Satb1
ENSMUSG00000023932,Cdc5l
ENSMUSG00000023938,Aars2
ENSMUSG00000023939,Mrpl14
ENSMUSG00000023944,Hsp90ab1
ENSMUSG00000023949,Tcte1
ENSMUSG00000023952,Gtpbp2
ENSMUSG00000023960,Enpp5
ENSMUSG00000023967,Mrps18a
ENSMUSG00000023971,Rrp36
ENSMUSG00000023977,Ubr2
ENSMUSG00000023988,Bysl
ENSMUSG00000023991,Foxp4
ENSMUSG00000024002,Brd4
ENSMUSG00000024007,Ppil1
ENSMUSG00000024012,Mtch1
ENSMUSG00000024014,Pim1
ENSMUSG00000024018,Ccdc167
ENSMUSG00000024019,Cmtr1
ENSMUSG00000024026,Glo1
ENSMUSG00000024036,Slc37a1
ENSMUSG00000024037,Wdr4
ENSMUSG00000024038,Ndufv3
ENSMUSG00000024042,Sik1
ENSMUSG00000024045,Akap8
ENSMUSG00000024048,Myl12a
ENSMUSG00000024050,Wiz
ENSMUSG00000024052,Lpin2
ENSMUSG00000024054,Smchd1
ENSMUSG00000024059,Clip4
ENSMUSG00000024063,Lbh
ENSMUSG00000024065,Ehd3
ENSMUSG00000024067,Dpy30
ENSMUSG00000024073,Birc6
ENSMUSG00000024074,Crim1
ENSMUSG00000024081,Cebpz
ENSMUSG00000024082,Ndufaf7
ENSMUSG00000024083,Pja2
ENSMUSG00000024091,Vapa
ENSMUSG00000024096,Ralbp1
ENSMUSG00000024097,Srsf7
ENSMUSG00000024098,Twsg1
ENSMUSG00000024099,Ndufv2
ENSMUSG00000024101,Washc1
ENSMUSG00000024109,Nrxn1
ENSMUSG00000024121,Atp6v0c
ENSMUSG00000024127,Prepl
ENSMUSG00000024130,Abca3
ENSMUSG00000024131,Slc3a1
ENSMUSG00000024132,Eci1
ENSMUSG00000024135,Srbd1
ENSMUSG00000024142,Mlst8
ENSMUSG00000024145,Pigf
ENSMUSG00000024146,Cript
ENSMUSG00000024158,Hagh
ENSMUSG00000024163,Mapk8ip3
ENSMUSG00000024168,Tmem204
ENSMUSG00000024180,Pgap6
ENSMUSG00000024181,Mrpl28
ENSMUSG00000024182,Axin1
ENSMUSG00000024187,Fam234a
ENSMUSG00000024188,Luc7l
ENSMUSG00000024193,Phf1
ENSMUSG00000024194,Cuta
ENSMUSG00000024201,Kdm4b
ENSMUSG00000024208,Uqcc2
ENSMUSG00000024212,Mllt1
ENSMUSG00000024213,Nudt3
ENSMUSG00000024217,Snrpc
ENSMUSG00000024218,Taf11
ENSMUSG00000024220,Zfp523
ENSMUSG00000024222,Fkbp5
ENSMUSG00000024231,Cul2
ENSMUSG00000024234,Mtpap
ENSMUSG00000024238,Zeb1
ENSMUSG00000024240,Epc1
ENSMUSG00000024241,Sos1
ENSMUSG00000024245,Tmem178
ENSMUSG00000024248,Cox7a2l
ENSMUSG00000024251,Thada
ENSMUSG00000024258,Polr2d
ENSMUSG00000024259,Slc25a46
ENSMUSG00000024261,Syt4
ENSMUSG00000024268,Celf4
ENSMUSG00000024269,Tpgs2
ENSMUSG00000024273,2700062C07Rik
ENSMUSG00000024276,Zfp397
ENSMUSG00000024277,Mapre2
ENSMUSG00000024283,Wac
ENSMUSG00000024286,Ccny
ENSMUSG00000024294,Mib1
ENSMUSG00000024302,Dtna
ENSMUSG00000024304,Cdh2
ENSMUSG00000024309,Pfdn6
ENSMUSG00000024317,Rnf138
ENSMUSG00000024319,Vps52
ENSMUSG00000024327,Slc39a7
ENSMUSG00000024330,Col11a2
ENSMUSG00000024346,Pfdn1
ENSMUSG00000024347,Psd2
ENSMUSG00000024350,Dnajc18
ENSMUSG00000024357,Sil1
ENSMUSG00000024360,Etf1
ENSMUSG00000024369,Nelfe
ENSMUSG00000024378,Stard4
ENSMUSG00000024381,Bin1
ENSMUSG00000024383,Map3k2
ENSMUSG00000024392,Bag6
ENSMUSG00000024393,Prrc2a
ENSMUSG00000024400,Wdr33
ENSMUSG00000024403,Atp6v1g2
ENSMUSG00000024414,Mrpl27
ENSMUSG00000024425,Ndfip1
ENSMUSG00000024429,Gnl1
ENSMUSG00000024431,Nr3c1
ENSMUSG00000024436,Mrps18b
ENSMUSG00000024446,Rpp21
ENSMUSG00000024454,Hdac3
ENSMUSG00000024456,Diaph1
ENSMUSG00000024457,Trim26
ENSMUSG00000024462,Gabbr1
ENSMUSG00000024474,Ik
ENSMUSG00000024477,Pggt1b
ENSMUSG00000024480,Ap3s1
ENSMUSG00000024487,Yipf5
ENSMUSG00000024498,Tcerg1
ENSMUSG00000024500,Ppp2r2b
ENSMUSG00000024501,Dpysl3
ENSMUSG00000024502,Jakmip2
ENSMUSG00000024515,Smad4
ENSMUSG00000024516,Sec11c
ENSMUSG00000024524,Gnal
ENSMUSG00000024526,Cidea
ENSMUSG00000024528,Srfbp1
ENSMUSG00000024530,Prelid3a
ENSMUSG00000024533,Spire1
ENSMUSG00000024535,Snx24
ENSMUSG00000024537,Psmg2
ENSMUSG00000024539,Ptpn2
ENSMUSG00000024548,Setbp1
ENSMUSG00000024560,Cxxc1
ENSMUSG00000024561,Mbd1
ENSMUSG00000024566,Atp9b
ENSMUSG00000024570,Rbfa
ENSMUSG00000024571,Naa12
ENSMUSG00000024576,Csnk1a1
ENSMUSG00000024580,Grpel2
ENSMUSG00000024581,Napg
ENSMUSG00000024583,Txnl1
ENSMUSG00000024587,Nars
ENSMUSG00000024588,Fech
ENSMUSG00000024594,Prrc1
ENSMUSG00000024601,Isoc1
ENSMUSG00000024603,Dctn4
ENSMUSG00000024604,Rbm22
ENSMUSG00000024608,Rps14
ENSMUSG00000024617,Camk2a
ENSMUSG00000024639,Gnaq
ENSMUSG00000024646,Cyb5a
ENSMUSG00000024647,Cbln2
ENSMUSG00000024661,Fth1
ENSMUSG00000024664,Fads3
ENSMUSG00000024665,Fads2
ENSMUSG00000024668,Sdhaf2
ENSMUSG00000024695,Zfp91
ENSMUSG00000024712,Rfk
ENSMUSG00000024713,Pcsk5
ENSMUSG00000024732,Ccdc86
ENSMUSG00000024735,Prpf19
ENSMUSG00000024736,Tmem132a
ENSMUSG00000024740,Ddb1
ENSMUSG00000024742,Fen1
ENSMUSG00000024743,Syt7
ENSMUSG00000024758,Rtn3
ENSMUSG00000024759,Atl3
ENSMUSG00000024764,Naa40
ENSMUSG00000024767,Otub1
ENSMUSG00000024772,Ehd1
ENSMUSG00000024777,Ppp2r5b
ENSMUSG00000024780,Cdc37l1
ENSMUSG00000024781,Lipa
ENSMUSG00000024782,Ak3
ENSMUSG00000024790,Sac3d1
ENSMUSG00000024793,Tnfrsf25
ENSMUSG00000024811,Tnks2
ENSMUSG00000024824,Rad9a
ENSMUSG00000024826,Dpf2
ENSMUSG00000024829,Mrpl21
ENSMUSG00000024830,Rps6kb2
ENSMUSG00000024833,Pola2
ENSMUSG00000024835,Coro1b
ENSMUSG00000024841,Eif1ad
ENSMUSG00000024844,Banf1
ENSMUSG00000024845,Tmem134
ENSMUSG00000024846,Cst6
ENSMUSG00000024847,Aip
ENSMUSG00000024851,Pitpnm1
ENSMUSG00000024853,Sf3b2
ENSMUSG00000024855,Pacs1
ENSMUSG00000024856,Cdk2ap2
ENSMUSG00000024858,Grk2
ENSMUSG00000024869,Gm49405
ENSMUSG00000024870,Rab1b
ENSMUSG00000024873,Cnih2
ENSMUSG00000024878,Cbwd1
ENSMUSG00000024883,Rin1
ENSMUSG00000024891,Slc29a2
ENSMUSG00000024897,Apba1
ENSMUSG00000024900,Cpt1a
ENSMUSG00000024902,Mrpl11
ENSMUSG00000024914,Drap1
ENSMUSG00000024921,Smarca2
ENSMUSG00000024926,Kat5
ENSMUSG00000024937,Ehbp1l1
ENSMUSG00000024939,Fam89b
ENSMUSG00000024940,Ltbp3
ENSMUSG00000024941,Scyl1
ENSMUSG00000024944,Arl2
ENSMUSG00000024949,Sf1
ENSMUSG00000024953,Prdx5
ENSMUSG00000024955,Esrra
ENSMUSG00000024957,Kcnk4
ENSMUSG00000024958,Gpr137
ENSMUSG00000024959,Bad
ENSMUSG00000024962,Vegfb
ENSMUSG00000024963,Dnajc4
ENSMUSG00000024966,Stip1
ENSMUSG00000024969,Mark2
ENSMUSG00000024975,Pdcd4
ENSMUSG00000024976,Shoc2
ENSMUSG00000024978,Gpam
ENSMUSG00000024981,Acsl5
ENSMUSG00000024991,Eif3a
ENSMUSG00000024993,Dennd10
ENSMUSG00000025006,Sorbs1
ENSMUSG00000025016,Tm9sf3
ENSMUSG00000025027,Xpnpep1
ENSMUSG00000025034,Trim8
ENSMUSG00000025035,Arl3
ENSMUSG00000025041,Nt5c2
ENSMUSG00000025049,Taf5
ENSMUSG00000025066,Sfr1
ENSMUSG00000025078,Nhlrc2
ENSMUSG00000025085,Ablim1
ENSMUSG00000025086,Trub1
ENSMUSG00000025092,Hspa12a
ENSMUSG00000025102,3110040N11Rik
ENSMUSG00000025103,Btbd1
ENSMUSG00000025104,Hdgfl3
ENSMUSG00000025130,P4hb
ENSMUSG00000025132,Arhgdia
ENSMUSG00000025134,Alyref
ENSMUSG00000025135,Anapc11
ENSMUSG00000025137,Pcyt2
ENSMUSG00000025138,Sirt7
ENSMUSG00000025139,Tollip
ENSMUSG00000025142,Aspscr1
ENSMUSG00000025144,Cenpx
ENSMUSG00000025147,Mob2
ENSMUSG00000025151,Maged1
ENSMUSG00000025153,Fasn
ENSMUSG00000025156,Gps1
ENSMUSG00000025157,Zdhhc16
ENSMUSG00000025158,Rfng
ENSMUSG00000025159,Mms19
ENSMUSG00000025162,Csnk1d
ENSMUSG00000025170,Rab40b
ENSMUSG00000025171,Ubtd1
ENSMUSG00000025175,Fn3k
ENSMUSG00000025178,Pi4k2a
ENSMUSG00000025190,Got1
ENSMUSG00000025202,Scd3
ENSMUSG00000025203,Scd2
ENSMUSG00000025204,Ndufb8
ENSMUSG00000025207,Sema4g
ENSMUSG00000025208,Mrpl43
ENSMUSG00000025209,Twnk
ENSMUSG00000025212,Sfxn3
ENSMUSG00000025220,Oga
ENSMUSG00000025221,Kcnip2
ENSMUSG00000025223,Ldb1
ENSMUSG00000025225,Nfkb2
ENSMUSG00000025226,Fbxl15
ENSMUSG00000025227,Mfsd13a
ENSMUSG00000025228,Actr1a
ENSMUSG00000025232,Hexa
ENSMUSG00000025237,Parp6
ENSMUSG00000025240,Sacm1l
ENSMUSG00000025245,Lztfl1
ENSMUSG00000025246,Tbl1x
ENSMUSG00000025260,Hsd17b10
ENSMUSG00000025261,Huwe1
ENSMUSG00000025266,Gnl3l
ENSMUSG00000025272,Tro
ENSMUSG00000025277,Abhd6
ENSMUSG00000025280,Polr3a
ENSMUSG00000025290,Rps24
ENSMUSG00000025314,Ptprj
ENSMUSG00000025316,Banp
ENSMUSG00000025318,Jph3
ENSMUSG00000025326,Ube3a
ENSMUSG00000025337,Sbds
ENSMUSG00000025340,Rabgef1
ENSMUSG00000025350,Rdh5
ENSMUSG00000025351,Cd63
ENSMUSG00000025362,Rps26
ENSMUSG00000025364,Pa2g4
ENSMUSG00000025369,Smarcc2
ENSMUSG00000025371,Chmp6
ENSMUSG00000025372,Baiap2
ENSMUSG00000025373,Rnf41
ENSMUSG00000025374,Nabp2
ENSMUSG00000025375,Aatk
ENSMUSG00000025377,Tepsin
ENSMUSG00000025381,Cnpy2
ENSMUSG00000025384,Faap100
ENSMUSG00000025393,Atp5b
ENSMUSG00000025395,Prim1
ENSMUSG00000025404,R3hdm2
ENSMUSG00000025408,Ddit3
ENSMUSG00000025410,Dctn2
ENSMUSG00000025413,Ttc4
ENSMUSG00000025417,Pip4k2c
ENSMUSG00000025421,Hdhd2
ENSMUSG00000025422,Agap2
ENSMUSG00000025427,Rnf165
ENSMUSG00000025428,Atp5a1
ENSMUSG00000025429,Pstpip2
ENSMUSG00000025437,Usp33
ENSMUSG00000025464,Paox
ENSMUSG00000025465,Echs1
ENSMUSG00000025466,Fuom
ENSMUSG00000025468,Caly
ENSMUSG00000025470,Zfp511
ENSMUSG00000025474,Tubgcp2
ENSMUSG00000025475,Adgra1
ENSMUSG00000025477,Inpp5a
ENSMUSG00000025478,Dpysl4
ENSMUSG00000025479,Cyp2e1
ENSMUSG00000025484,Bet1l
ENSMUSG00000025485,Ric8a
ENSMUSG00000025486,Sirt3
ENSMUSG00000025487,Psmd13
ENSMUSG00000025495,Ptdss2
ENSMUSG00000025499,Hras
ENSMUSG00000025503,Taldo1
ENSMUSG00000025505,Tmem80
ENSMUSG00000025508,Rplp2
ENSMUSG00000025509,Pnpla2
ENSMUSG00000025511,Tspan4
ENSMUSG00000025512,Chid1
ENSMUSG00000025521,Tmem192
ENSMUSG00000025532,Crcp
ENSMUSG00000025534,Gusb
ENSMUSG00000025537,Phkg1
ENSMUSG00000025545,Clybl
ENSMUSG00000025555,Farp1
ENSMUSG00000025571,Tnrc6c
ENSMUSG00000025575,Cant1
ENSMUSG00000025576,Rbfox3
ENSMUSG00000025579,Gaa
ENSMUSG00000025583,Rptor
ENSMUSG00000025586,Cpeb1
ENSMUSG00000025597,Klhl4
ENSMUSG00000025607,Copg2
ENSMUSG00000025609,Mkln1
ENSMUSG00000025612,Bach1
ENSMUSG00000025613,Cct8
ENSMUSG00000025616,Usp16
ENSMUSG00000025630,Hprt
ENSMUSG00000025646,Atrip
ENSMUSG00000025647,Shisa5
ENSMUSG00000025651,Uqcrc1
ENSMUSG00000025656,Arhgef9
ENSMUSG00000025658,Cnksr2
ENSMUSG00000025702,Marchf8
ENSMUSG00000025722,Wdr73
ENSMUSG00000025724,Sec11a
ENSMUSG00000025728,Pigq
ENSMUSG00000025730,Rab40c
ENSMUSG00000025731,Mettl26
ENSMUSG00000025733,Rhot2
ENSMUSG00000025736,Jmjd8
ENSMUSG00000025738,Fbxl16
ENSMUSG00000025739,Gng13
ENSMUSG00000025743,Sdc3
ENSMUSG00000025757,Hspa4l
ENSMUSG00000025764,Jade1
ENSMUSG00000025777,Gdap1
ENSMUSG00000025781,Atp5c1
ENSMUSG00000025785,Exosc7
ENSMUSG00000025786,Zdhhc3
ENSMUSG00000025790,Slco3a1
ENSMUSG00000025791,Pgm1
ENSMUSG00000025792,Slc25a10
ENSMUSG00000025793,Hgs
ENSMUSG00000025794,Rpl14
ENSMUSG00000025795,Rassf3
ENSMUSG00000025813,Homer2
ENSMUSG00000025816,Sec61a2
ENSMUSG00000025821,Zfp282
ENSMUSG00000025825,Iscu
ENSMUSG00000025854,Fam20c
ENSMUSG00000025855,Prkar1b
ENSMUSG00000025856,Pdgfa
ENSMUSG00000025858,Get4
ENSMUSG00000025860,Xiap
ENSMUSG00000025867,Cplx2
ENSMUSG00000025868,Higd2a
ENSMUSG00000025869,Nop16
ENSMUSG00000025870,Arl10
ENSMUSG00000025871,4833439L19Rik
ENSMUSG00000025872,Thoc3
ENSMUSG00000025873,Faf2
ENSMUSG00000025875,Tspan17
ENSMUSG00000025876,Unc5a
ENSMUSG00000025878,Uimc1
ENSMUSG00000025885,Myo5b
ENSMUSG00000025889,Snca
ENSMUSG00000025893,Kbtbd3
ENSMUSG00000025894,Aasdhppt
ENSMUSG00000025899,Alkbh8
ENSMUSG00000025907,Rb1cc1
ENSMUSG00000025909,Sntg1
ENSMUSG00000025915,Sgk3
ENSMUSG00000025917,Cops5
ENSMUSG00000025920,Stau2
ENSMUSG00000025930,Msc
ENSMUSG00000025935,Tram1
ENSMUSG00000025939,Ube2w
ENSMUSG00000025940,Tmem70
ENSMUSG00000025950,Idh1
ENSMUSG00000025958,Creb1
ENSMUSG00000025959,Klf7
ENSMUSG00000025962,Fastkd2
ENSMUSG00000025964,Adam23
ENSMUSG00000025967,Eef1b2
ENSMUSG00000025979,Mob4
ENSMUSG00000025980,Hspd1
ENSMUSG00000025982,Sf3b1
ENSMUSG00000025997,Ikzf2
ENSMUSG00000026000,Lancl1
ENSMUSG00000026005,Rpe
ENSMUSG00000026014,Raph1
ENSMUSG00000026018,Ica1l
ENSMUSG00000026019,Wdr12
ENSMUSG00000026020,Nop58
ENSMUSG00000026021,Sumo1
ENSMUSG00000026027,Stradb
ENSMUSG00000026031,Cflar
ENSMUSG00000026032,Ndufb3
ENSMUSG00000026035,Ppil3
ENSMUSG00000026036,Nif3l1
ENSMUSG00000026037,Orc2
ENSMUSG00000026058,Khdrbs2
ENSMUSG00000026064,Ptp4a1
ENSMUSG00000026078,Pdcl3
ENSMUSG00000026083,Eif5b
ENSMUSG00000026087,Mrpl30
ENSMUSG00000026090,Cracdl
ENSMUSG00000026102,Inpp1
ENSMUSG00000026103,Gls
ENSMUSG00000026109,Tmeff2
ENSMUSG00000026112,Coa5
ENSMUSG00000026113,Inpp4a
ENSMUSG00000026123,Plekhb2
ENSMUSG00000026127,Imp4
ENSMUSG00000026150,Mff
ENSMUSG00000026155,Smap1
ENSMUSG00000026156,B3gat2
ENSMUSG00000026158,Ogfrl1
ENSMUSG00000026159,Agfg1
ENSMUSG00000026163,Sphkap
ENSMUSG00000026174,Cnot9
ENSMUSG00000026179,Pnkd
ENSMUSG00000026180,Cxcr2
ENSMUSG00000026181,Ppm1f
ENSMUSG00000026188,Tmem169
ENSMUSG00000026193,Fn1
ENSMUSG00000026197,Zfand2b
ENSMUSG00000026201,Stk16
ENSMUSG00000026202,Tuba4a
ENSMUSG00000026203,Dnajb2
ENSMUSG00000026204,Ptprn
ENSMUSG00000026207,Speg
ENSMUSG00000026219,Trip12
ENSMUSG00000026220,Slc16a14
ENSMUSG00000026223,Itm2c
ENSMUSG00000026227,2810459M11Rik
ENSMUSG00000026229,Psmd1
ENSMUSG00000026234,Ncl
ENSMUSG00000026235,Epha4
ENSMUSG00000026238,Ptma
ENSMUSG00000026240,Cops7b
ENSMUSG00000026245,Farsb
ENSMUSG00000026254,Eif4e2
ENSMUSG00000026258,Snorc
ENSMUSG00000026259,Ngef
ENSMUSG00000026260,Ndufa10
ENSMUSG00000026269,Rnpepl1
ENSMUSG00000026270,Capn10
ENSMUSG00000026273,Mterf4
ENSMUSG00000026275,Ppp1r7
ENSMUSG00000026276,Septin2
ENSMUSG00000026277,Stk25
ENSMUSG00000026278,Bok
ENSMUSG00000026280,Atg4b
ENSMUSG00000026281,Dtymk
ENSMUSG00000026283,Ing5
ENSMUSG00000026305,Lrrfip1
ENSMUSG00000026309,Ilkap
ENSMUSG00000026311,Asb1
ENSMUSG00000026313,Hdac4
ENSMUSG00000026341,Actr3
ENSMUSG00000026342,Slc35f5
ENSMUSG00000026343,Gpr39
ENSMUSG00000026344,Lypd1
ENSMUSG00000026348,Acmsd
ENSMUSG00000026349,Ccnt2
ENSMUSG00000026353,Ubxn4
ENSMUSG00000026360,Rgs2
ENSMUSG00000026374,Tsn
ENSMUSG00000026377,Nifk
ENSMUSG00000026385,Dbi
ENSMUSG00000026389,Steap3
ENSMUSG00000026393,Nek7
ENSMUSG00000026411,Tmem9
ENSMUSG00000026421,Csrp1
ENSMUSG00000026425,Srgap2
ENSMUSG00000026426,Arl8a
ENSMUSG00000026429,Ube2t
ENSMUSG00000026430,Rassf5
ENSMUSG00000026434,Nucks1
ENSMUSG00000026442,Nfasc
ENSMUSG00000026447,Pik3c2b
ENSMUSG00000026450,Chit1
ENSMUSG00000026456,Cyb5r1
ENSMUSG00000026457,Adipor1
ENSMUSG00000026458,Ppfia4
ENSMUSG00000026463,Atp2b4
ENSMUSG00000026469,Xpr1
ENSMUSG00000026470,Stx6
ENSMUSG00000026482,Rgl1
ENSMUSG00000026489,Coq8a
ENSMUSG00000026492,Tfb2m
ENSMUSG00000026494,Kif26b
ENSMUSG00000026495,Efcab2
ENSMUSG00000026496,Parp1
ENSMUSG00000026499,Acbd3
ENSMUSG00000026500,Cox20
ENSMUSG00000026502,Desi2
ENSMUSG00000026511,Srp9
ENSMUSG00000026514,Cnih3
ENSMUSG00000026525,Opn3
ENSMUSG00000026527,Rgs7
ENSMUSG00000026544,Dusp23
ENSMUSG00000026554,Dcaf8
ENSMUSG00000026558,Uck2
ENSMUSG00000026563,Tada1
ENSMUSG00000026568,Mpc2
ENSMUSG00000026571,Dcaf6
ENSMUSG00000026575,Nme7
ENSMUSG00000026576,Atp1b1
ENSMUSG00000026577,Blzf1
ENSMUSG00000026578,Ccdc181
ENSMUSG00000026584,Scyl3
ENSMUSG00000026585,Kifap3
ENSMUSG00000026587,Astn1
ENSMUSG00000026594,Ralgps2
ENSMUSG00000026596,Abl2
ENSMUSG00000026603,Smyd2
ENSMUSG00000026608,Kctd3
ENSMUSG00000026614,Slc30a10
ENSMUSG00000026615,Eprs
ENSMUSG00000026617,Bpnt1
ENSMUSG00000026620,Mark1
ENSMUSG00000026623,Lpgat1
ENSMUSG00000026626,Ppp2r5a
ENSMUSG00000026627,Pacc1
ENSMUSG00000026630,Batf3
ENSMUSG00000026634,Angel2
ENSMUSG00000026641,Usf1
ENSMUSG00000026643,Nmt2
ENSMUSG00000026657,Frmd4a
ENSMUSG00000026659,Dusp12
ENSMUSG00000026667,Uhmk1
ENSMUSG00000026675,Hsd17b7
ENSMUSG00000026688,Mgst3
ENSMUSG00000026696,Vamp4
ENSMUSG00000026698,Pigc
ENSMUSG00000026701,Prdx6
ENSMUSG00000026705,Klhl20
ENSMUSG00000026715,Serpinc1
ENSMUSG00000026718,Stam
ENSMUSG00000026721,Rabgap1l
ENSMUSG00000026737,Pip4k2a
ENSMUSG00000026739,Bmi1
ENSMUSG00000026743,Mllt10
ENSMUSG00000026749,Nek6
ENSMUSG00000026750,Psmb7
ENSMUSG00000026755,Arpc5l
ENSMUSG00000026761,Orc4
ENSMUSG00000026765,Lypd6b
ENSMUSG00000026775,Yme1l1
ENSMUSG00000026781,Acbd5
ENSMUSG00000026782,Abi2
ENSMUSG00000026790,Odf2
ENSMUSG00000026792,Lrsam1
ENSMUSG00000026797,Stxbp1
ENSMUSG00000026798,Coq4
ENSMUSG00000026803,Ttf1
ENSMUSG00000026806,Ddx31
ENSMUSG00000026810,Dpm2
ENSMUSG00000026811,St6galnac6
ENSMUSG00000026817,Ak1
ENSMUSG00000026819,Slc25a25
ENSMUSG00000026820,Ptges2
ENSMUSG00000026825,Dnm1
ENSMUSG00000026833,Olfm1
ENSMUSG00000026834,Acvr1c
ENSMUSG00000026839,Upp2
ENSMUSG00000026841,Fibcd1
ENSMUSG00000026848,Tor1b
ENSMUSG00000026849,Tor1a
ENSMUSG00000026851,BC005624
ENSMUSG00000026853,Crat
ENSMUSG00000026854,Usp20
ENSMUSG00000026856,Dolpp1
ENSMUSG00000026857,Ntmt1
ENSMUSG00000026858,Miga2
ENSMUSG00000026860,Sh3glb2
ENSMUSG00000026864,Hspa5
ENSMUSG00000026867,Gapvd1
ENSMUSG00000026869,Psmd5
ENSMUSG00000026878,Rab14
ENSMUSG00000026883,Dab2ip
ENSMUSG00000026887,Mrrf
ENSMUSG00000026889,Rbm18
ENSMUSG00000026895,Ndufa8
ENSMUSG00000026914,Psmd14
ENSMUSG00000026915,Strbp
ENSMUSG00000026917,Wdr5
ENSMUSG00000026918,Brd3
ENSMUSG00000026921,Egfl7
ENSMUSG00000026926,Pmpca
ENSMUSG00000026927,Entr1
ENSMUSG00000026930,Gpsm1
ENSMUSG00000026932,Nacc2
ENSMUSG00000026933,Camsap1
ENSMUSG00000026939,Tmem141
ENSMUSG00000026941,Mamdc4
ENSMUSG00000026942,Traf2
ENSMUSG00000026958,Dpp7
ENSMUSG00000026959,Grin1
ENSMUSG00000026960,Arl6ip6
ENSMUSG00000026966,Ssna1
ENSMUSG00000026969,Fam166a
ENSMUSG00000026977,Marchf7
ENSMUSG00000026991,Pkp4
ENSMUSG00000027002,Nckap1
ENSMUSG00000027009,Itga4
ENSMUSG00000027010,Slc25a12
ENSMUSG00000027011,Ube2e3
